ds;uf;estado;regiao;additive_terms;additive_terms_lower;additive_terms_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;residuo;trend;trend_lower;trend_upper;yearly;yearly_lower;yearly_upper;yhat;yhat_lower;yhat_upper;populacao;y;y_100mil_hab;yhat_100mil_hab;yhat_lower_100mil_hab;yhat_upper_100mil_hab
2001-04-01;AC;Acre;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;598094;26,0;4,347142756824178;0,0;0,0;0,0
2001-04-01;AL;Alagoas;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2927153;100,0;3,4162887966566835;0,0;0,0;0,0
2001-04-01;AM;Amazonas;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2927154;196,0;6,695923753926168;0,0;0,0;0,0
2001-04-01;AP;Amapa;Norte;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;514298;25,0;4,86099498734197;0,0;0,0;0,0
2001-04-01;BA;Bahia;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13626649;602,0;4,417813946774442;0,0;0,0;0,0
2001-04-01;CE;Ceara;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7692133;298,0;3,874087980538038;0,0;0,0;0,0
2001-04-01;DF;Distrito Federal;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2136287;45,0;2,1064585423213265;0,0;0,0;0,0
2001-04-01;ES;Espirito Santo;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3230866;123,0;3,8070288275651167;0,0;0,0;0,0
2001-04-01;GO;Goias;Centro-Oeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5164014;84,0;1,626641600894188;0,0;0,0;0,0
2001-04-01;MA;Maranhao;Nordeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5851374;176,0;3,0078405516379574;0,0;0,0;0,0
2001-04-01;MG;Minas Gerais;Sudeste;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;18346670;84,0;0,4578487540245723;0,0;0,0;0,0
